"","x"
"1",158.341274345418
"2",159.730834760872
"3",159.058935867705
"4",159.708203461434
"5",159.53779414279
"6",158.826512853121
"7",159.426488586501
"8",159.030130686429
"9",158.612129534262
"10",159.442249356419
"11",159.124795824674
"12",159.659106498105
"13",159.293251850087
"14",159.566233119195
"15",158.59173146636
"16",159.464136213109
"17",158.556956015365
"18",159.312001551776
"19",159.060087319864
"20",159.164261079948
"21",159.364720503531
"22",159.565197532723
"23",159.379816018152
"24",158.927318225685
"25",159.149654386826
"26",159.462051458578
"27",159.076227558271
"28",159.626630320326
"29",159.033494561641
"30",159.086208289534
"31",158.695110547306
"32",158.456423113828
"33",158.651902883185
"34",159.093582876312
"35",159.210962568954
"36",158.949541142666
"37",159.2434131658
"38",158.506630784865
"39",159.251548046387
"40",159.424117600497
"41",159.141821016413
"42",159.180304812531
"43",159.49049360348
"44",159.116413362889
"45",159.243996307031
"46",158.960643710988
"47",158.871734604286
"48",159.25206864169
"49",159.340098528322
"50",159.304023763914
"51",158.793656592149
"52",159.067255299936
"53",158.962795788245
"54",159.880706486839
"55",159.467439050932
"56",158.968515230666
"57",159.279742751082
"58",159.506212046182
"59",159.454355583408
"60",159.40936700085
"61",158.632204699624
"62",158.506082231661
"63",159.135674582198
"64",159.092090474099
"65",158.69680491201
"66",159.727007473227
"67",159.139503564744
"68",158.930233145057
"69",159.638113598185
"70",158.825288005112
"71",159.228689206537
"72",159.453606258191
"73",158.781528698267
"74",159.23500427668
"75",159.10914965122
"76",159.470324919992
"77",158.841270370586
"78",159.310652190997
"79",158.938375869595
"80",159.105874327811
"81",159.645683784535
"82",159.450197856226
"83",159.281532510242
"84",159.119993486717
"85",159.493296508531
"86",159.198372072653
"87",159.358581508384
"88",158.555858482286
"89",158.838715566496
"90",159.050647322772
"91",159.074448053179
"92",159.074676698635
"93",159.095870200118
"94",159.159185093592
"95",159.237483401844
"96",159.958877941601
"97",159.0337033289
"98",158.996392041451
"99",158.547371021447
"100",159.236056223208
"101",158.924780100935
"102",159.846419830327
"103",159.399199133125
"104",158.489343090739
"105",158.913659228753
"106",158.814089674188
"107",159.266486816655
"108",158.739091692834
"109",159.228092814896
"110",158.772445229072
"111",158.993273010845
"112",159.352747609571
"113",159.019542244068
"114",159.706786660533
"115",158.767335117151
"116",159.313602085783
"117",159.255363031737
"118",158.79058750777
"119",159.170739522202
"120",159.047097729252
"121",159.111568941984
"122",159.579413883413
"123",159.263598162927
"124",159.007633084114
"125",158.666430996424
"126",159.252958452261
"127",159.250918978517
"128",159.450530078937
"129",159.446493451257
"130",159.11622405249
"131",159.495111675526
"132",159.609217200841
"133",158.780652051085
"134",159.102648407139
"135",158.768962176613
"136",159.054441085463
"137",159.292440910785
"138",158.944483977192
"139",159.091700979873
"140",159.160644377943
"141",159.048564086182
"142",158.926799705425
"143",158.959524816127
"144",158.697996579256
"145",158.8853896723
"146",158.860016594908
"147",159.472545762705
"148",158.637989606702
"149",159.150037979128
"150",159.349112980203
"151",159.489600740555
"152",158.545280644744
"153",158.704581551918
"154",159.354189853215
"155",159.434927300292
"156",159.088869531487
"157",159.138632516064
"158",159.419478606568
"159",158.745998250757
"160",158.979997538497
"161",158.905970315002
"162",159.161714147457
"163",159.082629507928
"164",159.493843103038
"165",158.29117630733
"166",159.319020860391
"167",159.02266340997
"168",159.647065393031
"169",158.889569916677
"170",159.143878007483
"171",159.025587541441
"172",159.158771989421
"173",159.552644262167
"174",159.135375072019
"175",159.064019234899
"176",159.188206189272
"177",159.391997947593
"178",158.790686278006
"179",158.345413908656
"180",157.739504590034
"181",159.318779765185
"182",159.007687896226
"183",159.001430734747
"184",159.762761121902
"185",159.185397433714
"186",159.568066086988
"187",158.910799909445
"188",159.347107078631
"189",159.4344857395
"190",158.783634949343
"191",158.736906530597
"192",159.548152438876
"193",158.815870458021
"194",159.291142309412
"195",158.862161254811
"196",158.952444626085
"197",159.519069997109
"198",159.049514826398
"199",159.357493725462
"200",159.218979178051
"201",158.853281550119
"202",158.75030469693
"203",159.073587350713
"204",158.331541324792
"205",158.827211649077
"206",159.21950577931
"207",159.361626380032
"208",159.324556980054
"209",158.999574537032
"210",159.412039679664
"211",158.997665058169
"212",159.191168370529
"213",158.908777299464
"214",159.168393355008
"215",159.02556675983
"216",159.183770471041
"217",158.895870401112
"218",158.929003592264
"219",158.433939200684
"220",158.944280799395
"221",158.958833633027
"222",158.777042932595
"223",159.24785686199
"224",159.064102593895
"225",159.265897530541
"226",158.713439420531
"227",158.914326195083
"228",159.533473946023
"229",158.72681042707
"230",158.889764754168
"231",159.816064092561
"232",159.299566919599
"233",159.654426640048
"234",159.134082548104
"235",159.343403120313
"236",159.001141295027
"237",158.792530548328
"238",159.077376157094
"239",159.334625033843
"240",159.189435038545
"241",159.391646627538
"242",158.867443785049
"243",159.059019459485
"244",159.093028025674
"245",158.817071876252
"246",159.432932064734
"247",159.261964282662
"248",158.8537181951
"249",159.131389044354
"250",159.648145809359
"251",159.20616117004
"252",159.002785048006
"253",158.749937771803
"254",159.490598392235
"255",159.425153215858
"256",159.046296321306
"257",159.129924259733
"258",159.206978155233
"259",158.926673501821
"260",159.31427457882
"261",159.457338545424
"262",158.613967125375
"263",158.832653613414
"264",158.892190539408
"265",159.228790917468
"266",159.158118636829
"267",159.429458289755
"268",159.03027999854
"269",159.035528589288
"270",159.381543157941
"271",159.233376311232
"272",159.547582918253
"273",158.468000543092
"274",159.559165882747
"275",159.147764230768
"276",158.859372779159
"277",159.21647003415
"278",159.013786915225
"279",159.167917742393
"280",159.303243197319
"281",158.566913736388
"282",159.337922913478
